שם_ישוב,גיל_0_5,,גיל_6_18,,גיל_19_45,,גיל_46_55,,גיל_56_64,,גיל_65_פלוס,,"סה""כ",,AND,עירוני/ כפרי,מגזר,פריפריה/ מרכז,נפה/ מועצה,נפה,סמל_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,
ירושלים,"137,012",1,"265,994",1,"377,695",1,"93,451",1,"70,855",1,"123,625",1,"1,068,632",1,1,עירוני,יהודי,מרכז,ירושלים ,ירושלים ,3000,11,ירושלים ,11,ירושלים ,0, ,
מבשרת ציון,"2,395",1,"5,152",1,"9,179",1,"3,195",1,"2,729",1,"5,235",1,"27,885",1,1,עירוני,יהודי,מרכז,ירושלים ,ירושלים ,1015,11,ירושלים ,11,ירושלים ,0, ,
בית שמש,"35,023",1,"54,893",1,"59,922",1,"10,301",1,"5,973",1,"7,649",1,"173,761",1,1,עירוני,יהודי,מרכז,ירושלים ,ירושלים ,2610,11,ירושלים ,13,בית שמש ,0, ,
צפת,"6,064",1,"10,930",1,"14,071",1,"3,244",1,"2,818",1,"4,766",1,"41,893",1,1,עירוני,יהודי,פריפריה,צפת ,צפת ,8000,21,צפת ,21,צפת ,0, ,
קרית שמונה,"1,817",0,"4,168",1,"9,164",1,"2,912",1,"2,645",1,"4,237",1,"24,943",1,1,עירוני,יהודי,פריפריה,צפת ,צפת ,2800,21,צפת ,21,צפת ,0, ,
טבריה,"6,927",1,"10,619",1,"18,925",1,"5,575",1,"4,729",1,"8,241",1,"55,016",1,1,עירוני,יהודי,פריפריה,כנרת ,כנרת ,6700,22,כנרת ,22,טבריה ,0, ,
עפולה,"7,993",1,"12,547",1,"23,410",1,"6,850",1,"5,730",1,"11,002",1,"67,532",1,1,עירוני,יהודי,פריפריה,עפולה ,עפולה ,7700,23,עפולה ,23,עפולה ,0, ,
מגדל העמק,"2,775",1,"5,816",1,"10,465",1,"3,602",1,"2,889",1,"5,503",1,"31,050",1,1,עירוני,יהודי,פריפריה,עפולה ,עפולה ,874,23,עפולה ,23,עפולה ,0, ,
יקנעם עילית,"2,064",1,"5,562",1,"9,574",1,"4,015",1,"2,389",1,"3,635",1,"27,239",1,1,עירוני,יהודי,פריפריה,עפולה ,עפולה ,240,23,עפולה ,23,עפולה ,0, ,
כרמיאל,"3,634",1,"9,110",1,"17,924",1,"7,225",1,"5,439",1,"12,157",1,"55,489",1,1,עירוני,יהודי,פריפריה,עכו ,עכו ,1139,24,עכו ,20,כרמיאל ,0, ,
נהריה,"5,325",1,"12,747",1,"24,771",1,"10,278",1,"7,573",1,"15,227",1,"75,921",1,1,עירוני,יהודי,פריפריה,עכו ,עכו ,9100,24,עכו ,24,עכו ,0, ,
עכו,"4,713",1,"10,828",1,"21,685",1,"6,881",1,"5,895",1,"10,121",1,"60,123",1,1,עירוני,יהודי,פריפריה,עכו ,עכו ,7600,24,עכו ,24,עכו ,0, ,
טמרה,"3,555",1,"8,398",1,"15,243",1,"4,250",1,"2,750",1,"2,360",1,"36,556",1,1,עירוני,ערבי,פריפריה,עכו ,עכו ,8900,24,עכו ,24,עכו ,0, ,
סח'נין,"3,397",1,"8,258",1,"14,638",1,"4,131",1,"2,453",1,"2,082",1,"34,959",1,1,עירוני,ערבי,פריפריה,עכו ,עכו ,7500,24,עכו ,24,עכו ,0, ,
מעלות-תרשיחא,"1,920",0,"4,789",1,"8,887",1,"3,240",1,"2,635",1,"4,407",1,"25,878",1,1,עירוני,יהודי,פריפריה,עכו ,עכו ,1063,24,עכו ,24,עכו ,0, ,
שפרעם,"3,763",1,"8,977",1,"18,121",1,"5,457",1,"3,890",1,"3,525",1,"43,733",1,1,עירוני,ערבי,פריפריה,עכו ,עכו ,8800,24,עכו ,25,נוף הגליל ,0, ,
נצרת,"6,968",1,"16,625",1,"33,179",1,"9,804",1,"7,484",1,"8,656",1,"82,716",1,1,עירוני,ערבי,פריפריה,נצרת ,נצרת ,7300,25,נצרת ,25,נוף הגליל ,0, ,
נוף הגליל,"4,478",1,"8,853",1,"18,195",1,"6,553",1,"5,377",1,"11,183",1,"54,639",1,1,עירוני,יהודי,פריפריה,נצרת ,נצרת ,1061,25,נצרת ,25,נוף הגליל ,0, ,
קרית אתא,"5,649",1,"11,860",1,"22,308",1,"7,743",1,"6,400",1,"12,762",1,"66,722",1,1,עירוני,יהודי,מרכז,חיפה ,חיפה ,6800,31,חיפה ,27,קריות ,0, ,
קרית מוצקין,"4,213",1,"8,902",1,"18,093",1,"6,591",1,"4,894",1,"12,607",1,"55,300",1,1,עירוני,יהודי,מרכז,חיפה ,חיפה ,8200,31,חיפה ,27,קריות ,0, ,
קרית ביאליק,"3,944",1,"8,251",1,"16,501",1,"5,976",1,"4,472",1,"10,743",1,"49,887",1,1,עירוני,יהודי,מרכז,חיפה ,חיפה ,9500,31,חיפה ,27,קריות ,0, ,
קרית ים,"2,865",1,"6,914",1,"15,065",1,"6,059",1,"5,278",1,"12,688",1,"48,869",1,1,עירוני,יהודי,מרכז,חיפה ,חיפה ,9600,31,חיפה ,27,קריות ,0, ,
חיפה,"22,181",1,"50,948",1,"110,313",1,"41,404",1,"33,154",1,"79,147",1,"337,147",1,1,עירוני,יהודי,מרכז,חיפה ,חיפה ,4000,31,חיפה ,31,חיפה ,0, ,
טירת כרמל,"3,603",1,"5,625",1,"11,691",1,"3,411",1,"2,808",1,"5,219",1,"32,357",1,1,עירוני,יהודי,מרכז,חיפה ,חיפה ,2100,31,חיפה ,31,חיפה ,0, ,
נשר,"1,584",0,"3,604",1,"8,443",1,"3,160",1,"2,734",1,"5,444",1,"24,969",1,1,עירוני,יהודי,מרכז,חיפה ,חיפה ,2500,31,חיפה ,31,חיפה ,0, ,
אום אל-פחם,"6,674",1,"14,999",1,"24,829",1,"6,501",1,"4,113",1,"3,099",1,"60,215",1,1,עירוני,ערבי,מרכז,חדרה ,חדרה ,2710,32,חדרה ,23,עפולה ,0, ,
חדרה,"9,928",1,"20,817",1,"38,004",1,"13,241",1,"10,396",1,"20,010",1,"112,396",1,1,עירוני,יהודי,מרכז,חדרה ,חדרה ,6500,32,חדרה ,32,חדרה ,0, ,
פרדס חנה-כרכור,"4,238",1,"11,149",1,"15,507",1,"6,632",1,"3,977",1,"6,618",1,"48,121",1,1,עירוני,יהודי,מרכז,חדרה ,חדרה ,7800,32,חדרה ,32,חדרה ,0, ,
אור עקיבא,"2,460",1,"4,503",1,"8,765",1,"2,768",1,"2,408",1,"4,240",1,"25,144",1,1,עירוני,יהודי,מרכז,חדרה ,חדרה ,1020,32,חדרה ,32,חדרה ,0, ,
זכרון יעקב,"1,913",0,"5,927",1,"8,191",1,"3,659",1,"2,772",1,"3,831",1,"26,293",1,1,עירוני,יהודי,מרכז,חדרה ,חדרה ,9300,32,חדרה ,32,חדרה ,0, ,
נתניה,"21,615",1,"49,047",1,"87,626",1,"32,690",1,"25,211",1,"58,308",1,"274,497",1,1,עירוני,יהודי,מרכז,השרון ,השרון ,7400,41,השרון ,41,נתניה ,0, ,
טייבה,"4,749",1,"11,437",1,"19,231",1,"5,254",1,"3,627",1,"3,061",1,"47,359",1,1,עירוני,ערבי,מרכז,השרון ,השרון ,2730,41,השרון ,41,נתניה ,0, ,
כפר יונה,"3,080",1,"6,918",1,"10,391",1,"3,980",1,"2,183",1,"3,263",1,"29,815",1,1,עירוני,יהודי,מרכז,השרון ,השרון ,168,41,השרון ,41,נתניה ,0, ,
טירה,"2,729",1,"6,096",1,"12,037",1,"3,157",1,"2,365",1,"2,276",1,"28,660",1,1,עירוני,ערבי,מרכז,השרון ,השרון ,2720,41,השרון ,41,נתניה ,0, ,
קדימה-צורן,"1,763",0,"5,687",1,"7,744",1,"3,560",1,"2,527",1,"2,366",1,"23,647",1,1,עירוני,יהודי,מרכז,השרון ,השרון ,195,41,השרון ,41,נתניה ,0, ,
פתח תקווה,"23,634",1,"56,330",1,"90,984",1,"36,448",1,"22,994",1,"50,250",1,"280,640",1,1,עירוני,יהודי,מרכז,פתח תקווה ,פתח תקווה ,7900,42,פתח תקווה ,42,פתח תקוה ,0, ,
יהוד-מונוסון,"2,636",1,"6,480",1,"10,763",1,"4,484",1,"3,068",1,"6,134",1,"33,565",1,1,עירוני,יהודי,מרכז,פתח תקווה ,פתח תקווה ,9400,42,פתח תקווה ,42,פתח תקוה ,0, ,
כפר סבא,"7,816",1,"21,108",1,"33,846",1,"15,096",1,"9,375",1,"24,195",1,"111,436",1,1,עירוני,יהודי,מרכז,פתח תקווה ,פתח תקווה ,6900,42,פתח תקווה ,47,כפר סבא ,0, ,
רעננה,"7,225",1,"18,201",1,"30,307",1,"12,996",1,"9,001",1,"19,707",1,"97,437",1,1,עירוני,יהודי,מרכז,פתח תקווה ,פתח תקווה ,8700,42,פתח תקווה ,47,כפר סבא ,0, ,
הוד השרון,"5,363",1,"14,784",1,"21,491",1,"10,138",1,"6,157",1,"11,066",1,"68,999",1,1,עירוני,יהודי,מרכז,פתח תקווה ,פתח תקווה ,9700,42,פתח תקווה ,47,כפר סבא ,0, ,
ראש העין,"9,867",1,"16,477",1,"28,301",1,"7,669",1,"6,434",1,"7,439",1,"76,187",1,1,עירוני,יהודי,מרכז,פתח תקווה ,פתח תקווה ,2640,42,פתח תקווה ,349,ראש העין ,0, ,
מודיעין-מכבים-רעות,"7,827",1,"26,043",1,"34,517",1,"16,270",1,"8,938",1,"11,186",1,"104,781",1,1,עירוני,יהודי,מרכז,רמלה ,רמלה ,1200,43,רמלה ,43,רמלה ,0, ,
לוד,"12,423",1,"20,509",1,"32,066",1,"9,015",1,"6,616",1,"12,318",1,"92,947",1,1,עירוני,יהודי,מרכז,רמלה ,רמלה ,7000,43,רמלה ,43,רמלה ,0, ,
רמלה,"9,120",1,"17,967",1,"30,936",1,"9,233",1,"7,152",1,"12,001",1,"86,409",1,1,עירוני,יהודי,מרכז,רמלה ,רמלה ,8500,43,רמלה ,43,רמלה ,0, ,
שוהם,"1,951",0,"5,071",1,"8,693",1,"3,549",1,"3,049",1,"2,341",1,"24,654",1,1,עירוני,יהודי,מרכז,רמלה ,רמלה ,1304,43,רמלה ,43,רמלה ,0, ,
רחובות,"15,420",1,"34,758",1,"53,588",1,"19,315",1,"12,144",1,"27,920",1,"163,145",1,1,עירוני,יהודי,מרכז,רחובות ,רחובות ,8400,44,רחובות ,44,רחובות ,0, ,
יבנה,"7,150",1,"13,700",1,"21,067",1,"5,884",1,"3,945",1,"7,483",1,"59,229",1,1,עירוני,יהודי,מרכז,רחובות ,רחובות ,2660,44,רחובות ,44,רחובות ,0, ,
נס ציונה,"3,418",1,"11,721",1,"15,218",1,"7,867",1,"3,868",1,"7,592",1,"49,684",1,1,עירוני,יהודי,מרכז,רחובות ,רחובות ,7200,44,רחובות ,44,רחובות ,0, ,
גדרה,"2,785",1,"7,843",1,"10,222",1,"4,464",1,"2,095",1,"3,300",1,"30,709",1,1,עירוני,יהודי,מרכז,רחובות ,רחובות ,2550,44,רחובות ,44,רחובות ,0, ,
גן יבנה,"1,818",0,"6,112",1,"8,862",1,"3,934",1,"2,378",1,"2,347",1,"25,451",1,1,עירוני,יהודי,מרכז,רחובות ,רחובות ,166,44,רחובות ,44,רחובות ,0, ,
ראשון לציון,"20,577",1,"45,520",1,"95,904",1,"36,397",1,"27,268",1,"55,888",1,"281,554",1,1,עירוני,יהודי,מרכז,רחובות ,רחובות ,8300,44,רחובות ,46,ראשון לציון ,0, ,
תל אביב - יפו,"39,550",1,"74,447",1,"228,961",1,"71,551",1,"50,616",1,"114,507",1,"579,632",1,1,עירוני,יהודי,תל אביב,תל אביב ,תל אביב ,5000,51,תל אביב ,51,"ת""א - מרכז ",0, ,
הרצליה,"9,388",1,"19,907",1,"39,584",1,"15,582",1,"10,776",1,"26,480",1,"121,717",1,1,עירוני,יהודי,תל אביב,תל אביב ,תל אביב ,6400,51,תל אביב ,57,הרצליה ,0, ,
רמת השרון,"3,509",1,"10,750",1,"14,159",1,"8,036",1,"4,767",1,"11,450",1,"52,671",1,1,עירוני,יהודי,תל אביב,תל אביב ,תל אביב ,2650,51,תל אביב ,57,הרצליה ,0, ,
רמת גן,"13,301",1,"25,477",1,"66,445",1,"22,548",1,"16,880",1,"36,969",1,"181,620",1,1,עירוני,יהודי,תל אביב,רמת גן ,רמת גן ,8600,52,רמת גן ,52,רמת גן ,0, ,
גבעתיים,"5,071",1,"9,806",1,"24,050",1,"8,225",1,"5,292",1,"12,559",1,"65,003",1,1,עירוני,יהודי,תל אביב,רמת גן ,רמת גן ,6300,52,רמת גן ,52,רמת גן ,0, ,
קרית אונו,"3,390",1,"9,971",1,"13,585",1,"6,806",1,"3,604",1,"7,951",1,"45,307",1,1,עירוני,יהודי,תל אביב,רמת גן ,רמת גן ,2620,52,רמת גן ,52,רמת גן ,0, ,
אור יהודה,"4,120",1,"7,545",1,"14,304",1,"4,485",1,"3,778",1,"6,122",1,"40,354",1,1,עירוני,יהודי,תל אביב,רמת גן ,רמת גן ,2400,52,רמת גן ,52,רמת גן ,0, ,
בני ברק,"42,712",1,"68,441",1,"73,782",1,"13,397",1,"9,993",1,"18,567",1,"226,892",1,1,עירוני,יהודי,תל אביב,רמת גן ,רמת גן ,6100,52,רמת גן ,54,בני ברק ,0, ,
חולון,"15,189",1,"36,931",1,"67,007",1,"27,819",1,"20,239",1,"46,414",1,"213,599",1,1,עירוני,יהודי,תל אביב,חולון ,חולון ,6600,53,חולון ,53,חולון ,0, ,
בת ים,"8,777",1,"20,981",1,"48,452",1,"21,479",1,"17,281",1,"42,322",1,"159,292",1,1,עירוני,יהודי,תל אביב,חולון ,חולון ,6200,53,חולון ,53,חולון ,0, ,
אשקלון,"15,369",1,"31,949",1,"58,924",1,"19,257",1,"15,751",1,"30,796",1,"172,046",1,1,עירוני,יהודי,פריפריה,אשקלון ,אשקלון ,7100,61,אשקלון ,61,אשקלון ,0, ,
קרית גת,"9,757",1,"15,404",1,"25,770",1,"6,239",1,"5,678",1,"9,913",1,"72,761",1,1,עירוני,יהודי,פריפריה,אשקלון ,אשקלון ,2630,61,אשקלון ,61,אשקלון ,0, ,
שדרות,"4,712",1,"7,053",1,"14,766",1,"3,447",1,"2,930",1,"3,816",1,"36,724",1,1,עירוני,יהודי,פריפריה,אשקלון ,אשקלון ,1031,61,אשקלון ,61,אשקלון ,0, ,
קרית מלאכי,"3,694",1,"6,600",1,"10,394",1,"2,319",1,"2,156",1,"3,287",1,"28,450",1,1,עירוני,יהודי,פריפריה,אשקלון ,אשקלון ,1034,61,אשקלון ,61,אשקלון ,0, ,
אשדוד,"23,766",1,"51,210",1,"83,362",1,"30,154",1,"23,826",1,"45,661",1,"257,979",1,1,עירוני,יהודי,פריפריה,אשקלון ,אשקלון ,70,61,אשקלון ,69,אשדוד ,0, ,
באר שבע,"19,104",1,"40,136",1,"79,189",1,"25,455",1,"21,755",1,"42,437",1,"228,076",1,1,עירוני,יהודי,פריפריה,באר שבע ,באר שבע ,9000,62,באר שבע ,62,באר שבע ,0, ,
נתיבות,"8,994",1,"13,445",1,"20,287",1,"3,995",1,"2,830",1,"3,457",1,"53,008",1,1,עירוני,יהודי,פריפריה,באר שבע ,באר שבע ,246,62,באר שבע ,62,באר שבע ,0, ,
דימונה,"4,124",1,"7,959",1,"15,117",1,"4,850",1,"3,901",1,"6,358",1,"42,309",1,1,עירוני,יהודי,פריפריה,באר שבע ,באר שבע ,2200,62,באר שבע ,62,באר שבע ,0, ,
אופקים,"5,991",1,"9,152",1,"14,527",1,"3,291",1,"2,702",1,"3,844",1,"39,507",1,1,עירוני,יהודי,פריפריה,באר שבע ,באר שבע ,31,62,באר שבע ,62,באר שבע ,0, ,
ערד,"4,440",1,"6,639",1,"10,743",1,"3,485",1,"2,776",1,"5,897",1,"33,980",1,1,עירוני,יהודי,פריפריה,באר שבע ,באר שבע ,2560,62,באר שבע ,62,באר שבע ,0, ,
אילת,"4,528",1,"10,669",1,"26,693",1,"9,869",1,"7,408",1,"10,250",1,"69,417",1,1,עירוני,יהודי,פריפריה,באר שבע ,באר שבע ,2600,62,באר שבע ,63,אילת ,0, ,
אריאל,"1,621",0,"3,843",1,"7,568",1,"2,539",1,"2,260",1,"3,480",1,"21,311",1,1,עירוני,יהודי,פריפריה,טול כרם ,טול כרם ,3570,73,טול כרם ,48,אריאל ,0, ,
מעלה אדומים,"3,631",1,"8,614",1,"14,719",1,"4,680",1,"3,771",1,"5,196",1,"40,611",1,1,עירוני,יהודי,פריפריה,בית לחם ,בית לחם ,3616,76,בית לחם ,11,ירושלים ,0, ,
אבו גוש,925,0,"2,007",1,"3,487",1,901,0,705,0,670,0,"8,695",1,0,עירוני,ערבי,מרכז,ירושלים ,ירושלים ,472,11,ירושלים ,11,ירושלים ,0, ,
קרית יערים,"1,490",0,"2,280",1,"2,544",1,363,0,314,0,370,0,"7,361",1,0,עירוני,יהודי,מרכז,ירושלים ,ירושלים ,1137,11,ירושלים ,13,בית שמש ,0, ,
חצור הגלילית,"1,454",0,"2,505",1,"3,964",1,"1,040",0,969,0,"1,486",0,"11,418",1,0,עירוני,יהודי,פריפריה,צפת ,צפת ,2034,21,צפת ,21,צפת ,0, ,
טובא-זנגריה,824,0,"1,704",0,"3,103",1,818,0,475,0,384,0,"7,308",1,0,עירוני,בדואי,פריפריה,צפת ,צפת ,962,21,צפת ,21,צפת ,0, ,
ראש פינה,249,0,706,0,"1,158",0,462,0,330,0,614,0,"3,519",0,0,עירוני,יהודי,פריפריה,צפת ,צפת ,26,21,צפת ,21,צפת ,0, ,
ג'ש (גוש חלב),249,0,591,0,"1,322",0,441,0,364,0,434,0,"3,401",0,0,עירוני,ערבי,פריפריה,צפת ,צפת ,487,21,צפת ,21,צפת ,0, ,
מטולה,122,0,253,0,980,0,215,0,179,0,315,0,"2,064",0,0,עירוני,יהודי,פריפריה,צפת ,צפת ,43,21,צפת ,21,צפת ,0, ,
יסוד המעלה,130,0,353,0,665,0,258,0,187,0,267,0,"1,860",0,0,עירוני,יהודי,פריפריה,צפת ,צפת ,29,21,צפת ,21,צפת ,0, ,
מגאר,"2,418",1,"5,153",1,"10,898",1,"2,733",1,"1,800",0,"1,619",0,"24,621",1,0,עירוני,דרוזי,פריפריה,כנרת ,כנרת ,481,22,כנרת ,22,טבריה ,0, ,
עיילבון,490,0,"1,194",0,"2,458",1,677,0,523,0,652,0,"5,994",1,0,עירוני,ערבי,פריפריה,כנרת ,כנרת ,530,22,כנרת ,22,טבריה ,0, ,
כפר תבור,335,0,"1,179",0,"1,552",0,673,0,474,0,718,0,"4,931",0,0,עירוני,יהודי,פריפריה,כנרת ,כנרת ,47,22,כנרת ,22,טבריה ,0, ,
יבנאל,618,0,"1,503",0,"1,552",0,401,0,336,0,442,0,"4,852",0,0,עירוני,יהודי,פריפריה,כנרת ,כנרת ,46,22,כנרת ,22,טבריה ,0, ,
כפר כמא,312,0,652,0,"1,461",0,406,0,311,0,506,0,"3,648",0,0,עירוני,צרקסי,פריפריה,כנרת ,כנרת ,508,22,כנרת ,22,טבריה ,0, ,
מגדל,216,0,487,0,759,0,239,0,222,0,296,0,"2,219",0,0,עירוני,#N/A,פריפריה,כנרת ,כנרת ,65,22,כנרת ,22,טבריה ,0, ,
בית שאן,"2,259",1,"4,294",1,"7,860",1,"2,206",1,"1,989",0,"2,782",1,"21,390",1,0,עירוני,יהודי,פריפריה,עפולה ,עפולה ,9200,23,עפולה ,23,עפולה ,0, ,
אכסאל,"1,671",0,"3,888",1,"6,673",1,"1,722",0,"1,083",0,883,0,"15,920",1,0,עירוני,ערבי,פריפריה,עפולה ,עפולה ,478,23,עפולה ,23,עפולה ,0, ,
דבוריה,"1,084",0,"2,505",1,"4,543",1,"1,274",0,929,0,772,0,"11,107",1,0,עירוני,ערבי,פריפריה,עפולה ,עפולה ,489,23,עפולה ,23,עפולה ,0, ,
זרזיר,"1,044",0,"2,397",1,"3,846",1,921,0,557,0,450,0,"9,215",1,0,עירוני,בדואי,פריפריה,עפולה ,עפולה ,975,23,עפולה ,23,עפולה ,0, ,
רמת ישי,624,0,"1,801",0,"2,791",1,"1,107",0,726,0,"1,388",0,"8,437",1,0,עירוני,יהודי,פריפריה,עפולה ,עפולה ,122,23,עפולה ,23,עפולה ,0, ,
בסמת טבעון,830,0,"1,888",0,"3,447",1,991,0,643,0,537,0,"8,336",1,0,עירוני,בדואי,פריפריה,עפולה ,עפולה ,944,23,עפולה ,23,עפולה ,0, ,
שבלי - אום אל-גנם,691,0,"1,764",0,"2,778",1,816,0,494,0,440,0,"6,983",1,0,עירוני,בדואי,פריפריה,עפולה ,עפולה ,913,23,עפולה ,23,עפולה ,0, ,
נחף,"1,554",0,"3,584",1,"6,170",1,"1,490",0,843,0,690,0,"14,331",1,0,עירוני,ערבי,פריפריה,עכו ,עכו ,522,24,עכו ,20,כרמיאל ,0, ,
בית ג'ן,"1,121",0,"2,558",1,"5,609",1,"1,516",0,"1,021",0,"1,042",0,"12,867",1,0,עירוני,דרוזי,פריפריה,עכו ,עכו ,480,24,עכו ,20,כרמיאל ,0, ,
