Original Name,Translated Name
SULPIRIDE,סולפיריד
MOXIFLOXACIN HYDROCHLORIDE OPHTHALMIC SOLUTION 0.5%,מוקסיפלוקסצין הידרוכלוריד תמיסה לעיניים 0.5%
TETRAHYDRAZOLINE,טטרהידרזולין
HYDROCOLLOID DRESSING,תחבושת הידרוקולואידית
CILAZAPRIL,צילאזאפריל
PHENELZINE,פנלזין
TRIMETHOPRIM,טרימתופרים
ISOCONAZOLE NITRATE,איזוקונאזול ניטראט
AMANTADINE SULPH,אמנטדין סולפט
ATROPINE SULPH,אטרופין סולפט
AMISULPRIDE,אמיסולפריד
CEFUROXIME SOD,צפירוקסים נתרן
SIMVASTATIN,סימבסטטין
DOXAZOSIN,דוקסזוסין
DIPYRONE,דיפירון
TRAMADOL HCK 37.5 MG+PARACETAMOL 325 MG,"טראמאדול HCL 37.5 מ""ג + פראצטמול 325 מ""ג"
BACLOFEN,באקלופן
NIFEDIPINE,ניפדיפין
TERBUTALINE SULPH,טרבוטלין סולפט
NICOTINE,ניקוטין
IMOVAX,אימובקס
ZOPICLONE,זופיקלון
CLOBAZAM,קלובאזם
CAFFEINE,קפאין
NEPAFENAC,נפפנאק
vital 1.5Kcal,ויטאל 1.5 קלוריות
CLONIRIT HCL,קלוניריט הידרוכלוריד
CALAMINE,קלמין
ECONAZOLE NITR,אקונאזול ניטראט
PIOGLITAZONE,פיוגליטזון
REBETOL,רבטול
MOXIFLOXACIN,מוקסיפלוקסצין
COLLAGEN,קולגן
VENLAFAXINE,ונלפקסין
CICLOPIROX,ציקלופירוקס
LEVOFLOXACIN,לבופלוקסצין
DONEPEZIL HCL,דונפזיל הידרוכלוריד
BROMAZEPAM,ברומאזפם
CHLORDIAZEPOXIDE,כלורדיאזפוקסיד
OXYMETAZOLINE HCL,אוקסימתזולין הידרוכלוריד
NORMAL SALINE,תמיסת מלח פיזיולוגית
CARBIDOPA,קרבידופה
SERTINDOLE,סרטינדול
MOMETASONE FURATE,מומטאזון פוראט
MULTIGRAD,מולטיגרד
PRAZOSIN HCL,פראזוסין הידרוכלוריד
AMIODARONE HCL,אמיודרון הידרוכלוריד
ZINC PICOLINATE (מחקר),אבץ פיקולינאט (מחקר)
PROMETHAZINE,פרומתאזין
CINANALCET HCL,צינקלסט הידרוכלוריד
OXYBUTININ,אוקסיבוטינין
PYRAZINAMIDE,פיראזינאמיד
NOVO NORDISK,נובו נורדיסק
RALOXIFENE,רלוקסיפן
BRIVARACETAM,בריברצטם
VORTIOXETINE,וורטיאוקסטין
POLYVIT,פוליווויט
ETRAVIRINE,אטראווירין
LORAZEPAM,לוראזפם
MEGAGLUFLEX,מגהגלופלקס
CEFTRIAXONE,צפטריאקסון
TRIAZOLAM,טריאזולאם
HARTMAN,הרטמן
BENZALKONIUM HCL,בנזלקוניום הידרוכלוריד
OXYCODONE HCL,אוקסיקודון הידרוכלוריד
TENOFOVIR,טנופוביר
ARIPIPRAZOLE,אריפיפרזול
NAPROXEN,נפרוקסן
BUPIVACAINE,בופיבקאין
METHYLPREDNISOLONE,מתילפרדניזולון
FESOTEROION FUMARATE,פזוטרולין פומראט
TYROTHRICIN,טירותריצין
BRIMONIDINE TART,ברימונידין טרטראט
METOCLOPRAMIDE,מטוקלופראמיד
GENTAMICIN,גנטמיצין
ICHTHYOL,איכטיול
buprenorphine+naloxone,בופרנורפין + נלוקסון
DIMETINDENUM,דימתינדן
CLOZAPINE,קלוזפין
MAGNESIUM,מגנזיום
SODIUM,נתרן
CALCIUM ACETATE,סידן אצטט
ADAPALENE,אדפאלן
TOPIRAMATE,טופירמט
VIT B1 THIAMINE,ויטמין B1 תיאמין
DIGOXIN,דיגוקסין
VIDAGLIPTIN,וידגליפטין
ZIPRASIDONE,זיפרסידון
ATENOLOL,אטנולול
Insulin Degludec,אינסולין דגלודק
ETHINYLOESTRADIOL,אתינילאסטרדיול
KETOTIFEN,קטוטיפן
GLYCERIL TRINITRATE,גליצריל טריניטרט
DOLUTEGRAVIR 50 mg;ABACAVIR 600 MG;LAMIVUDINE 300 MG,"דולוטגרוויר 50 מ""ג; אבאקוויר 600 מ""ג; למיבודין 300 מ""ג"
TOLNAFTATE,טולנפטאט
HYDROCORTISONE,הידרוקורטיזון
AZITHROMYCIN,אזיתרומיצין
VITAMIN K,ויטמין K
LISINOPRIL,ליזינופריל
DULOXETINE,דולוקסטין
CALCIUM CARBONATE,סידן קרבונט
NORGESTIMATE,נורגסטימט
CLOXACILLIN SOD,קלוקסצילין נתרן
TOFACITINIB,טופסיטיניב
IMIPRAMINE HCL,אימיפרמין הידרוכלוריד
ETHAMBUTOL,אתמבוטול
DULAGLUTIDE,דולגלוטיד
CYCLOPENTOLATE,ציקלופנטולט
BENZYL PEROXIDE,בנזיל פרוקסיד
dolutegravir\lamivudine,דולוטגרוויר\למיבודין
OXAZEPAM,אוקסאזפם
THYROXINE,תירוקסין
PROPRANOLOL HCL,פרופרנולול הידרוכלוריד
LETROZOLE,לטרוזול
TOXOID,טוקסואיד
GABAPENTIN,גבאפנטין
DILTIAZEM,דילטיאזם
OXCARBAZEPINE,אוקסקרבזפין
OFLO-AVENIR COL,אופלו-אווניר קול
GLYCERYL TRINITRATE 4 MG/G,"גליצריל טריניטרט 4 מ""ג/גרם"
AMLODIPINE,אמלודיפין
PROPERICIAZINE,פרופריציאזין
BUPRENORPHINE,בופרנורפין
CLOTRIMAZOLE,קלוטרימזול
PRIMIDONE,פרימידון
HYALURONATE,חומצה היאלורונית
INSULIN LYUMJEV KWK 100IU,אינסולין ליוםג'ב KWK 100IU
SULPHAMETHOXAZOLE,סולפמתוקסזול
INTERFERON BETA,אינטרפרון בטא
ONDANSETRON,אונדנסטרון
BROTIZOLAM,ברוטיזולם
SILVER SULFADIAZINE,סילבר סולפדיאזין
ST. JOHN'S WORT DRYEXT/HYPERICUM PERFORATUM,תמצית יבשה של פרע (Hypericum Perforatum)
FLUOROMETHOLONE,פלואורומתולון
PENICILLAMINE,פניצילאמין
ISOTRETINOIN,איזוטרטינואין
CLODRONATE,קלודרונט
LANSOPRAZOLE,לנסופרזול
Paraffin+Lanolin,פרפין + לנולין
FILGRSTIN,פילגראסטין
AMANTADINE SULPHATE,אמנטדין סולפט
CINNARIZINE,צינריזין
DEXPANTHENOL,דקספנטנול
BUPROPION,בופרופיון
Darbepoetin alfa,דרבפואטין אלפא
BENSERAZIDE,בנזרזיד
FERROUS FUMARATE,ברזל פומראט
VALSARTAN,ולסרטן
CALCIUM,סידן
ESTRIOL,אסטריול
CLOMIPRAMINE HCL,קלומיפרמין הידרוכלוריד
PERHYDROL OXYDOL,פרהידרול אוקסידול
LABETALOL HCL,לבטאלול הידרוכלוריד
ELVITEGRAVIR 150MG + COBICISTAR 150MG + EMTRICITABINE 200MG + TENOFOVIR 10MG,"אלויטגרוויר 150 מ""ג + קוביציסטאר 150 מ""ג + אמטריסיטאבין 200 מ""ג + טנופוביר 10 מ""ג"
SOTALOL,סוטלול
MAG. CARB,מגנזיום קרבונט
EZETIMIBE;ATORVASTATIN,איזטימיב; אטורווסטטין
FAMOTIDINE,פאמוטידין
ISOPROPYL MYRISTATE,איזופרופיל מיריסטאט
MERCAPTOPURINE,מרקפטופורין
XYLOMETHAZOLINE HCL,קסילומטזולין הידרוכלוריד
ADerma Exomega Cream,קרם אדרמה אקסומגה
POLYSTYRENE SULPHONATE,פוליסטירן סולפונט
FLUOXETINE HCL,פלואוקסטין הידרוכלוריד
FLUOCINOLONE,פלואוצינולון
PERPHENAZINE,פרפנאזין
CHLORAMPHENICOL,כלוראמפניקול
CLINDAMYCIN HYDROCHLORIDE,קלינדמיצין הידרוכלוריד
TIMOLOL MALEATE,טימולול מלטאט
CICLOPIROXOLAMINE,ציקלופירוקסולאמין
BISMUTH SUBSALICYLATE,ביסמות סבסליצילאט
PREDNISOLONE,פרדניזולון
ACETYLCYSTEINE,אצטילציסטאין
AZATHIOPRINE,אזתיופרין
sofosbuvir,סופוסבוביר
DEXTROMETHORPHAN HBR,דקסטרומטורפן הידרובורומיד
ISOSORBIDE DINITRATE,איזוסורביד דיניטראט
"BIGUANIDE,DAPAGLIFOZIN,METFORMIN","ביגואניד, דפגליפוזין, מטפורמין"
DEXACHLORPHENIRAMINE,דקסכלורפניראמין
FLUPENTIXOL DECANOATE,פלופנטיקסול דקאונאט
PERMETHRIN,פרמטרין
PHENOBARBITAL SOD,פנוברביטל נתרן
GESTODENE/ETHINYLESTRADIOL,גסטודן/אתינילאסטרדיול
ZOLPIDEM TARTARATE,זולפידם טרטראט
AMOXYCILLIN,אמוקסיצילין
MAPROTILINE HCL,מפרוטילין הידרוכלוריד
VITAMIN D,ויטמין D
PHENYLHYDRARGYRI,פנילהידררגירי
ROPINIROLE,רופינירול
CLORIMIPRAMINE HCL,קלורימיפרמין הידרוכלוריד
SITAGLIPTIN/METFORMIN,סיטגליפטין/מטפורמין
ZINC SULPH,אבץ סולפט
RIZATRIPTAN,ריזטריפטן
ALFACALCIDOL,אלפאקלצידול
CROTAMITON,קרוטמיטון
DESLORATADINE,דסלורטדין
MEDROXYPROGESTERONE ACETATE,מדרוקסיפרוגסטרון אצטט
CLINDAMYCIN PHOSPHATE 1%,קלינדמיצין פוספט 1%
METHIMAZOLE,מתימאזול
LIPOSOMAL,ליפוזומלי
PAPAVERIN HYDROCHLORIDE,פפברין הידרוכלוריד
APIXABAN,אפיקסבן
PENFLURIDOL,פנפלורידול
SULTHIAME,סולטיאם
AZELASTINE HYDROCHLORIDE,אזלסטין הידרוכלוריד
NORETHISTERONE ACET,נורתיסטרון אצטט
DIHYDROXYVITAMIN D3,דיהידרוקסיוויטמין D3
LYSINE,ליזין
SOMATOTROPHIN,סומטוטרופין
ALPRAZOLAM,אלפראזולם
SULPHASALAZINE,סולפסלזין
COLCHICINE,כולכיצין
AVODART,אבודרט
GABA,גאבא
CETOMACROGOL,צטומקרוגול
APIDRA,אפידרה
BISOPROLOL,ביסופרולול
CETIRIZINE,צטיריזין
INDOMETHACIN,אינדומתצין
FLUCONAZOLE,פלוקונאזול
BROMHEXINE HCL,ברומהקסין הידרוכלוריד
BENZOYL PEROXIDE,בנזואיל פראוקסיד
CHLORHEXIDINE GLUC,כלורהקסידין גלוקונאט
BECLOMETHASONE,בקלאומתזון
FLUTICASONE FUROATE/VILATEROL,פלוטיקזון פורואט/וילטרול
PARACETAMOL,פאראצטמול
MEBEVERINE HCL,מבברין הידרוכלוריד
ENOXAPARIN,אנוקספרין
POLYETHYLENE GLYCOL,פוליאתילן גליקול
SULPHONYLUREA GLIMEPIRIDE,סולפונילאוריאה גלימפיריד
INSULIN,אינסולין
HUMALOG,הומאלוג
LORNOXICAN,לורנוקסיקן
CYPROTERONE,ציפרוטרון
COVID 19 mRNA VACCINE,חיסון mRNA לקורונה
ASCORBIC ACID,חומצה אסקורבית
DABIGATRAN ETEXILLATE,דביגטרן אתקסילאט
LERCANIDIPINE HCL,לרקנדיפין הידרוכלוריד
ANTIBACTERIAL ENZYME SYSTEM,מערכת אנזימים אנטיבקטריאלית
MAG.HYDROX,מגנזיום הידרוקסיד
MORPHINE SULPH,מורפין סולפט
BRINZOLAMIDE,ברינזולמיד
DICLOFENAC POTASSIUM,דיקלופנק פוטסיום
METHADONE,מתדון
SEMAGLUTIDE,סמגלוטייד
INSULIN SEMAGLUTIDE,אינסולין סמגלוטייד
SIMETHICONE,סימטיקון
TAMSULOSIN HCI,טמסולוזין הידרוכלוריד
SALICYLIC ACID,חומצה סליצילית
SOD.HYALURONATE,סודיום היאלורונט
BIPERIDEN,ביפרידן
LAMOTRIGINE,למוטריג'ין
TIOTROPIUM,טיוטרופיום
FLUMETHASONE,פלומתאזון
HYDROXYUREA,הידרוקסיוריאה
50 MG VIDAGLIPTIN / 850 MG METFORMIN,"50 מ""ג וידגליפטין / 850 מ""ג מטפורמין"
SUPERLUNCH,סופרלאנץ'
PICOLAX,פיקולקס
ERYTHROMYCIN,אריתרומיצין
DIET,דיאטה
CLOBETASOL PROPIONATE,קלובטאזול פרופיונאט
SOD. BIPHOS,סודיום ביפוספט
MEMANTINE,ממנטין
NYSTATIN,ניסטטין
TRAMADOL HCL,טרמדול הידרוכלוריד
FERROUS CALC. CITY,פרוס קלציום סיטי
SEVELAMER,סוולאמר
DIAZEPAM,דיאזפאם
INSULIN DEGLUDEC 100 UNITS/ML + LIRAGLUTIDE 3.6 ML/MG,"אינסולין דגלודק 100 יח'/מ""ל + לירגלוטייד 3.6 מ""ל/מ""ג"
HEXAMINE HIPP,הקסמין היפוראתי
ZUCLOPENTHIXOL DECANOATE,זוקלופנתיקסול דקנואט
BISMUTH OXYCHLORIDE,ביסמות אוקסיכלוריד
PREGABALIN,פרגאבאלין
CARBOCYSTEINE,קרבוסיסטאין
AMPHETAMINE/DEXTROAMPHETAMINE,אמפטמין/דקסטרואמפטמין
BETHANECOL CHLOR,בתאנכול כלוריד
BENZOCAINE,בנזוקאין
TERBINAFINE HYDROCHLORIDE,טרבינאפין הידרוכלוריד
CLOPIDOGREL,קלופידוגרל
BETAHISTINE,בטאהיסטין
FELODIPINE,פלודיפין
DIMETHYLPOLYSILOXANE,דימתילפוליסילוקסאן
SOD. PHOS,סודיום פוספט
SALBUTAMOL,סלבותמול
DIFLUCORTOLONE,דיפלוקורטולון
SEVELAMER CARBONATE ANHYDROUS,סוולאמר קרבונט נטול מים
MEPYRAMINE MALEATE,מפיראמין מאליאט
VITAMIN E,ויטמין E
MYCOPHENOLATE MOFETIL,מיקופנולאט מופטיל
ABOUND,אבאונד
ERDOSTEINE,ארדוסטאין
CAPECITABINE,קפציטבין
MOCLOBEMIDE,מוקלובמיד
